Kontenplan;ID;Buchungskonto;Bezeichnung;Übergeordnetes Konto;Kontenklasse;Benutzerdefinierte Kontengruppe;Status
SKR42;;17800;LZB-Guthaben;ref:17800;1: Umlaufvermögenskonten;;0
SKR42;;17900;Bundesbankguthaben;ref:17900;1: Umlaufvermögenskonten;;0
SKR42;;18000;Bank;ref:18000;1: Umlaufvermögenskonten;;0
SKR42;;18100;Bank 1;ref:18100;1: Umlaufvermögenskonten;;0
SKR42;;18200;Bank 2;ref:18200;1: Umlaufvermögenskonten;;0
SKR42;;18300;Bank 3;ref:18300;1: Umlaufvermögenskonten;;0
SKR42;;18400;Bank 4;ref:18400;1: Umlaufvermögenskonten;;0
SKR42;;18500;Bank 5;ref:18500;1: Umlaufvermögenskonten;;0
SKR42;;18900;Finanzmittelanlagen im Rahmen der kurzfristigen Finanzdisposition (nicht im Finanzmittelfonds enthalten);ref:18900;1: Umlaufvermögenskonten;;0
SKR42;;18950;Verbindlichkeiten gegenüber Kreditinstituten (nicht im Finanzmittelfonds enthalten);ref:18950;1: Umlaufvermögenskonten;;0
SKR42;;19000;Aktive Rechnungsabgrenzung;ref:19000;1: Umlaufvermögenskonten;;0
SKR42;;19400;Damnum/Disagio;ref:19400;1: Umlaufvermögenskonten;;0
SKR42;;20000;Gebundene Rücklagen nach § 62 Abs. 1 Nr. 1 AO;ref:20000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;20800;Wiederbeschaffungsrücklage;ref:20800;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;20900;Betriebsmittelrücklage;ref:20900;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;21000;Freie Rücklagen nach § 62 Abs. 1 Nr. 3 AO;ref:21000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;22000;Rücklage aus sonstigen zeitnah zu verwendenden Mitteln;ref:22000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;22500;Rücklagen zum Erwerb von Gesellschaftsrechten nach § 62 Abs. 1 Nr. 4 AO;ref:22500;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;23000;Nutzungsgebundenes Kapital (Eigenkapitalausweis);ref:23000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;24000;Ergebnisse Vermögensumschichtung;ref:24000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;25000;Vereinskapital / sonstige nicht zeitnah zu verwendende Mittel nach § 62 Abs. 3 AO;ref:25000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;26000;Errichtungskapital;ref:26000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;26500;Zustiftungskapital;ref:26500;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;27000;Zuführung aus Ergebnisrücklagen;ref:27000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;27500;Kapitalerhaltungsrücklage;ref:27500;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;28000;Ansparrücklage nach § 62 Abs. 4 AO;ref:28000;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;28500;Sonstige Ergebnisrücklagen;ref:28500;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29200;Kapitalrücklage;ref:29200;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29700;Gewinnvortrag / Ergebnisvortrag vor Verwendung;ref:29700;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29780;Verlustvortrag / Ergebnisvortrag vor Verwendung;ref:29780;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29810;Steuerfreie Rücklagen nach § 6b EStG;ref:29810;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29820;Rücklage für Ersatzbeschaffung;ref:29820;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29830;Rücklage für Zuschüsse;ref:29830;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29850;Ausgleichsposten bei Entnahmen § 4g EStG;ref:29850;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29880;Sonderposten für Zuschüsse;ref:29880;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29950;Nutzungsgebundenes Kapital;ref:29950;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29960;Längerfristig gebundene Spenden;ref:29960;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;29970;Noch nicht satzungsgemäß verwendete Spenden;ref:29970;2: Eigenkapitalkonten/Fremdkapitalkonten;;0
SKR42;;31000;Anleihen, nicht konvertibel;ref:31000;3: Fremdkapitalkonten;;0
SKR42;;31200;Anleihen, konvertibel;ref:31200;3: Fremdkapitalkonten;;0
SKR42;;31400;Sonstige Schuld- und Finanztitel;ref:31400;3: Fremdkapitalkonten;;0
SKR42;;31410;Bewilligungen;ref:31410;3: Fremdkapitalkonten;;0
SKR42;;31420;Rückgängig gemachte Bewilligungen;ref:31420;3: Fremdkapitalkonten;;0
SKR42;;31500;Verbindlichkeiten gegenüber Kreditinstituten;ref:31500;3: Fremdkapitalkonten;;0
SKR42;;31800;Verbindlichkeiten gegenüber Kreditinstituten aus Teilzahlungsverträgen;ref:31800;3: Fremdkapitalkonten;;0
SKR42;;32100;Verbindlichkeiten gegenüber Kreditinstituten, vor Restlaufzeitdifferenzierung;ref:32100;3: Fremdkapitalkonten;;0
SKR42;;32490;Gegenkonto 31500 - 31839 bei Aufteilung der Konten 32100 - 32489;ref:32490;3: Fremdkapitalkonten;;0
SKR42;;32500;Erhaltene Anzahlungen auf Bestellungen (Verbindlichkeiten);ref:32500;3: Fremdkapitalkonten;;0
SKR42;;32600;Erhaltene, versteuerte Anzahlungen 7 % USt (Verbindlichkeiten);ref:32600;3: Fremdkapitalkonten;;0
SKR42;;32610;Erhaltene, versteuerte Anzahlungen 5 % USt (Verbindlichkeiten);ref:32610;3: Fremdkapitalkonten;;0
SKR42;;32640;Erhaltene, versteuerte Anzahlungen 0 % USt (Verbindlichkeiten);ref:32640;3: Fremdkapitalkonten;;0
SKR42;;32700;Erhaltene, versteuerte Anzahlungen 16 % USt (Verbindlichkeiten);ref:32700;3: Fremdkapitalkonten;;0
SKR42;;32720;Erhaltene, versteuerte Anzahlungen 19 % USt (Verbindlichkeiten);ref:32720;3: Fremdkapitalkonten;;0
SKR42;;32800;Erhaltene Anzahlungen - Nachsteuer;ref:32800;3: Fremdkapitalkonten;;0
SKR42;;33000;Verbindlichkeiten aus Lieferungen und Leistungen;ref:33000;3: Fremdkapitalkonten;;0
SKR42;;33050;Verbindlichkeiten aus Lieferungen und Leistungen zum allgemeinen Umsatzsteuersatz (EÜR);ref:33050;3: Fremdkapitalkonten;;0
SKR42;;33060;Verbindlichkeiten aus Lieferungen und Leistungen zum ermäßigten Umsatzsteuersatz (EÜR);ref:33060;3: Fremdkapitalkonten;;0
SKR42;;33070;Verbindlichkeiten aus Lieferungen und Leistungen ohne Vorsteuerabzug (EÜR);ref:33070;3: Fremdkapitalkonten;;0
SKR42;;33090;Gegenkonto 33050 - 33079 bei Aufteilung der Verbindlichkeiten nach Steuersätzen (EÜR);ref:33090;3: Fremdkapitalkonten;;0
SKR42;;33100;Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent;ref:33100;3: Fremdkapitalkonten;;0
SKR42;;33200;Verbindlichkeiten aus Lieferungen und Leistungen für Investitionen für § 4 Abs. 3 EStG;ref:33200;3: Fremdkapitalkonten;;0
SKR42;;33310;Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr;ref:33310;3: Fremdkapitalkonten;;0
SKR42;;33490;Gegenkonto 33310 - 33339, 34200 - 34239, 34700 - 34739 bei Aufteilung Kreditorenkonto;ref:33490;3: Fremdkapitalkonten;;0
SKR42;;33500;Wechselverbindlichkeiten;ref:33500;3: Fremdkapitalkonten;;0
SKR42;;34000;Verbindlichkeiten gegenüber verbundenen Unternehmen;ref:34000;3: Fremdkapitalkonten;;0
SKR42;;34200;Verbindlichkeiten aus Lieferungen und Leistungen gegenüber verbundenen Unternehmen;ref:34200;3: Fremdkapitalkonten;;0
SKR42;;34500;Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:34500;3: Fremdkapitalkonten;;0
SKR42;;34700;Verbindlichkeiten aus Lieferungen und Leistungen gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht;ref:34700;3: Fremdkapitalkonten;;0
SKR42;;34900;Verbindlichkeiten für satzungsgemäße Leistungen;ref:34900;3: Fremdkapitalkonten;;0
SKR42;;34910;Verbindlichkeiten aus erteilten Zusagen;ref:34910;3: Fremdkapitalkonten;;0
SKR42;;34920;Verbindlichkeiten aus nicht zweckentsprechend verwendeten Mitteln;ref:34920;3: Fremdkapitalkonten;;0
SKR42;;34930;Verbindlichkeiten aus bedingt rückzahlungspflichtigen Spenden;ref:34930;3: Fremdkapitalkonten;;0
SKR42;;35000;Sonstige Verbindlichkeiten;ref:35000;3: Fremdkapitalkonten;;0
SKR42;;35090;Sonstige Verbindlichkeiten nach § 11 Abs. 2 S. 2 EStG für § 4 Abs. 3 EStG;ref:35090;3: Fremdkapitalkonten;;0
SKR42;;35400;Partiarische Darlehen;ref:35400;3: Fremdkapitalkonten;;0
SKR42;;35500;Erhaltene Kautionen;ref:35500;3: Fremdkapitalkonten;;0
SKR42;;35600;Darlehen;ref:35600;3: Fremdkapitalkonten;;0
SKR42;;36000;Agenturwarenabrechnung;ref:36000;3: Fremdkapitalkonten;;0
SKR42;;36100;Kreditkartenabrechnung;ref:36100;3: Fremdkapitalkonten;;0
SKR42;;36120;Neutralisierung aufwandswirksamer Sachverhalte für § 4 Abs. 3 EStG;ref:36120;3: Fremdkapitalkonten;;0
SKR42;;36130;Ergebnisneutrale Sachverhalte für § 4 Abs. 3 EStG;ref:36130;3: Fremdkapitalkonten;;0
SKR42;;36950;Verrechnungskonto geleistete Anzahlungen bei Buchung über Kreditorenkonto;ref:36950;3: Fremdkapitalkonten;;0
SKR42;;37200;Verbindlichkeiten aus Lohn und Gehalt;ref:37200;3: Fremdkapitalkonten;;0
SKR42;;37250;Verbindlichkeiten für Einbehaltungen von Arbeitnehmern;ref:37250;3: Fremdkapitalkonten;;0
SKR42;;37260;Verbindlichkeiten an das Finanzamt aus abzuführendem Bauabzugsbetrag;ref:37260;3: Fremdkapitalkonten;;0
SKR42;;37300;Verbindlichkeiten aus Lohn- und Kirchensteuer;ref:37300;3: Fremdkapitalkonten;;0
SKR42;;37400;Verbindlichkeiten im Rahmen der sozialen Sicherheit;ref:37400;3: Fremdkapitalkonten;;0
SKR42;;37590;Voraussichtliche Beitragsschuld gegenüber den Sozialversicherungsträgern;ref:37590;3: Fremdkapitalkonten;;0
SKR42;;37700;Verbindlichkeiten aus Vermögensbildung;ref:37700;3: Fremdkapitalkonten;;0
SKR42;;37800;Verbindlichkeiten im Rahmen der sozialen Sicherheit für § 4 Abs. 3 EStG;ref:37800;3: Fremdkapitalkonten;;0
SKR42;;37860;Ausgegebene Geschenkgutscheine;ref:37860;3: Fremdkapitalkonten;;0
SKR42;;37900;Lohn- und Gehaltsverrechnungskonto;ref:37900;3: Fremdkapitalkonten;;0
SKR42;;37910;Lohn- und Gehaltsverrechnung nach § 11 Abs. 2 S. 2 EStG für § 4 Abs. 3 EStG;ref:37910;3: Fremdkapitalkonten;;0
SKR42;;38000;Umsatzsteuer;ref:38000;3: Fremdkapitalkonten;;0
SKR42;;38010;Umsatzsteuer 7 %;ref:38010;3: Fremdkapitalkonten;;0
SKR42;;38060;Umsatzsteuer 19 %;ref:38060;3: Fremdkapitalkonten;;0
SKR42;;38100;Umsatzsteuer nach § 13b UStG;ref:38100;3: Fremdkapitalkonten;;0
SKR42;;38160;Umsatzsteuer nach § 13b UStG 19 %;ref:38160;3: Fremdkapitalkonten;;0
SKR42;;38200;Umsatzsteuer nicht fällig;ref:38200;3: Fremdkapitalkonten;;0
SKR42;;38210;Umsatzsteuer nicht fällig 7 %;ref:38210;3: Fremdkapitalkonten;;0
SKR42;;38260;Umsatzsteuer nicht fällig 19 %;ref:38260;3: Fremdkapitalkonten;;0
SKR42;;38300;Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen;ref:38300;3: Fremdkapitalkonten;;0
SKR42;;38360;Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen 19 %;ref:38360;3: Fremdkapitalkonten;;0
SKR42;;38400;Umsatzsteuer-Vorauszahlungen;ref:38400;3: Fremdkapitalkonten;;0
SKR42;;38410;Umsatzsteuer-Vorauszahlungen 1/11;ref:38410;3: Fremdkapitalkonten;;0
SKR42;;38420;Umsatzsteuer laufendes Jahr;ref:38420;3: Fremdkapitalkonten;;0
SKR42;;38430;Umsatzsteuer Vorjahr;ref:38430;3: Fremdkapitalkonten;;0
SKR42;;38440;Umsatzsteuer frühere Jahre;ref:38440;3: Fremdkapitalkonten;;0
SKR42;;38450;Umsatzsteuer in Folgeperiode fällig (§§ 13 Abs. 1 Nr. 6 und 13b Abs. 2 UStG);ref:38450;3: Fremdkapitalkonten;;0
SKR42;;38500;Umsatzsteuer aus innergemeinschaftlichem Erwerb;ref:38500;3: Fremdkapitalkonten;;0
SKR42;;38510;Umsatzsteuer aus innergemeinschaftlichem Erwerb ohne Vorsteuerabzug;ref:38510;3: Fremdkapitalkonten;;0
SKR42;;38560;Umsatzsteuer aus innergemeinschaftlichem Erwerb 19 %;ref:38560;3: Fremdkapitalkonten;;0
SKR42;;38570;Umsatzsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts;ref:38570;3: Fremdkapitalkonten;;0
SKR42;;38580;Umsatzsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne Umsatzsteuer-Identifikationsnummer;ref:38580;3: Fremdkapitalkonten;;0
SKR42;;38600;Umsatzsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager;ref:38600;3: Fremdkapitalkonten;;0
SKR42;;38610;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen;ref:38610;3: Fremdkapitalkonten;;0
SKR42;;38660;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen 19 %;ref:38660;3: Fremdkapitalkonten;;0
SKR42;;38700;Nachsteuer, UStVA Kz. 65;ref:38700;3: Fremdkapitalkonten;;0
SKR42;;38710;Einfuhrumsatzsteuer aufgeschoben bis...;ref:38710;3: Fremdkapitalkonten;;0
SKR42;;38720;In Rechnung unrichtig oder unberechtigt ausgewiesene Steuerbeträge, UStVA Kz. 69;ref:38720;3: Fremdkapitalkonten;;0
SKR42;;38800;Umsatzsteuer aus im anderen EULand steuerpflichtigen Lieferungen;ref:38800;3: Fremdkapitalkonten;;0
SKR42;;38810;Umsatzsteuer aus im anderen EULand steuerpflichtigen sonstigen Leistungen/Werklieferungen;ref:38810;3: Fremdkapitalkonten;;0
SKR42;;38820;Umsatzsteuer aus im anderen EULand steuerpflichtigen elektronischen Dienstleistungen;ref:38820;3: Fremdkapitalkonten;;0
SKR42;;38830;Steuerzahlungen an andere Länder;ref:38830;3: Fremdkapitalkonten;;0
SKR42;;38840;Steuerzahlungen aus im anderen EU-Land steuerpflichtigen Leistungen;ref:38840;3: Fremdkapitalkonten;;0
SKR42;;38850;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen, nur OSS;ref:38850;3: Fremdkapitalkonten;;0
SKR42;;38990;Verbindlichkeiten aus Umsatzsteuer-Vorauszahlungen;ref:38990;3: Fremdkapitalkonten;;0
SKR42;;39000;Passive Rechnungsabgrenzung;ref:39000;3: Fremdkapitalkonten;;0
SKR42;;39500;Abgrenzung unterjährig pauschal gebuchter Abschreibungen für BWA;ref:39500;3: Fremdkapitalkonten;;0
SKR42;;40000;Echte Mitgliedsbeiträge;ref:40000;4: Einnahmen;;0
SKR42;;40100;Aufnahmegebühren;ref:40100;4: Einnahmen;;0
SKR42;;40200;Einnahmen aus Mitgliederumlagen;ref:40200;4: Einnahmen;;0
SKR42;;40300;Einnahmen aus Schenkungen;ref:40300;4: Einnahmen;;0
SKR42;;40310;Einnahmen aus Erbschaften;ref:40310;4: Einnahmen;;0
SKR42;;40320;Einnahmen aus Vermächtnissen;ref:40320;4: Einnahmen;;0
SKR42;;40330;Übrige ertragsteuerneutrale Einnahmen;ref:40330;4: Einnahmen;;0
SKR42;;40400;Erträge aus Spenden / Zuwendungen;ref:40400;4: Einnahmen;;0
SKR42;;40450;Geldzuwendungen gegen Zuwendungsbestätigung;ref:40450;4: Einnahmen;;0
SKR42;;40500;Geldzuwendungen ohne Zuwendungsbestätigung;ref:40500;4: Einnahmen;;0
SKR42;;40550;Sachzuwendungen gegen Zuwendungsbestätigung;ref:40550;4: Einnahmen;;0
SKR42;;40600;Sachzuwendungen ohne Zuwendungsbestätigung;ref:40600;4: Einnahmen;;0
SKR42;;40650;Aufwandszuwendungen gegen Zuwendungsbestätigung;ref:40650;4: Einnahmen;;0
SKR42;;40700;Aufwandszuwendungen ohne Zuwendungsbestätigung;ref:40700;4: Einnahmen;;0
SKR42;;40750;Ertrag aus Spendenverbrauch;ref:40750;4: Einnahmen;;0
SKR42;;40900;Umsatzerlöse (Zur freien Verfügung);ref:40900;4: Einnahmen;;0
SKR42;;41000;Sonstige steuerfreie Umsätze Inland;ref:41000;4: Einnahmen;;0
SKR42;;41010;Erlöse aus Eintrittsgeldern steuerfrei;ref:41010;4: Einnahmen;;0
SKR42;;41030;Erlöse aus Teilnehmer- und Nutzungsgebühren steuerfrei;ref:41030;4: Einnahmen;;0
SKR42;;41050;Erlöse aus Veranstaltungen steuerfrei;ref:41050;4: Einnahmen;;0
SKR42;;41070;Erlöse aus Fortbildung/Unterricht steuerfrei;ref:41070;4: Einnahmen;;0
SKR42;;41090;Erlöse aus Reisen steuerfrei;ref:41090;4: Einnahmen;;0
SKR42;;41110;Erlöse aus Werbung steuerfrei;ref:41110;4: Einnahmen;;0
SKR42;;41130;Erlöse aus Zuwendungen Dritter (Sponsoren) steuerfrei;ref:41130;4: Einnahmen;;0
SKR42;;41200;Steuerfreie Umsätze nach § 4 Nr. 1a UStG;ref:41200;4: Einnahmen;;0
SKR42;;41250;Steuerfreie Innergemeinschaftliche Lieferungen nach § 4 Nr. 1b UStG;ref:41250;4: Einnahmen;;0
SKR42;;41270;Steuerfreie Umsätze § 4 Nr. 8 ff. UStG;ref:41270;4: Einnahmen;;0
SKR42;;41280;Steuerfreie Umsätze nach § 4 Nr. 12 UStG (Vermietung und Verpachtung);ref:41280;4: Einnahmen;;0
SKR42;;41300;Lieferungen des ersten Abnehmers bei innergemeinschaftlichen Dreiecksgeschäften § 25b Abs. 2 UStG;ref:41300;4: Einnahmen;;0
SKR42;;41350;Steuerfreie innergemeinschaftliche Lieferungen von Neufahrzeugen an Abnehmer ohne UmsatzsteuerIdentifikationsnummer;ref:41350;4: Einnahmen;;0
SKR42;;41360;Umsatzerlöse nach §§ 25 und 25a UStG 19 % USt;ref:41360;4: Einnahmen;;0
SKR42;;41380;Umsatzerlöse nach §§ 25 und 25a UStG ohne USt;ref:41380;4: Einnahmen;;0
SKR42;;41390;Umsatzerlöse aus Reiseleistungen § 25 Abs. 2 UStG, steuerfrei;ref:41390;4: Einnahmen;;0
SKR42;;41400;Steuerfreie Umsätze Offshore etc.;ref:41400;4: Einnahmen;;0
SKR42;;41500;Sonstige steuerfreie Umsätze (z. B. § 4 Nr. 2 bis 7 UStG);ref:41500;4: Einnahmen;;0
SKR42;;41600;Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend, § 4 UStG;ref:41600;4: Einnahmen;;0
SKR42;;41650;Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend;ref:41650;4: Einnahmen;;0
SKR42;;41800;Erlöse, die mit den Durchschnittssätzen des § 24 UStG versteuert werden;ref:41800;4: Einnahmen;;0
SKR42;;41850;Erlöse als Kleinunternehmer nach § 19 Abs. 1 UStG;ref:41850;4: Einnahmen;;0
SKR42;;42000;Erlöse;ref:42000;4: Einnahmen;;0
SKR42;;42010;Erlöse aus Eintrittsgeldern;ref:42010;4: Einnahmen;;0
SKR42;;42030;Erlöse aus Teilnehmer-/Nutzungsgebühren;ref:42030;4: Einnahmen;;0
SKR42;;42050;Erlöse aus Veranstaltungen;ref:42050;4: Einnahmen;;0
SKR42;;42070;Erlöse aus Fortbildung/Unterricht;ref:42070;4: Einnahmen;;0
SKR42;;42090;Erlöse aus Reisen;ref:42090;4: Einnahmen;;0
SKR42;;42110;Erlöse aus Werbung;ref:42110;4: Einnahmen;;0
SKR42;;42130;Erlöse aus Zuwendungen Dritter (Sponsoren);ref:42130;4: Einnahmen;;0
SKR42;;42900;Erlöse 0 % USt;ref:42900;4: Einnahmen;;0
SKR42;;43000;Erlöse 7 % USt;ref:43000;4: Einnahmen;;0
SKR42;;43010;Erlöse aus Eintrittsgeldern 7 % USt;ref:43010;4: Einnahmen;;0
SKR42;;43030;Erlöse aus Teilnehmer- und Nutzungsgebühren 7 % USt;ref:43030;4: Einnahmen;;0
SKR42;;43050;Erlöse aus Veranstaltungen 7 % USt;ref:43050;4: Einnahmen;;0
SKR42;;43070;Erlöse aus Fortbildung/Unterricht 7 % USt;ref:43070;4: Einnahmen;;0
SKR42;;43090;Erlöse aus Reisen 7 % USt;ref:43090;4: Einnahmen;;0
SKR42;;43110;Erlöse aus Werbung 7 % USt (übertragene Weberechte);ref:43110;4: Einnahmen;;0
SKR42;;43180;Erlöse aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt;ref:43180;4: Einnahmen;;0
SKR42;;43190;Erlöse aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt;ref:43190;4: Einnahmen;;0
SKR42;;43200;Erlöse aus im anderen EU-Land steuerpflichtigen Lieferungen, im Inland nicht steuerbar;ref:43200;4: Einnahmen;;0
SKR42;;43310;Erlöse aus im anderen EU-Land steuerpflichtigen elektronischen Dienstleistungen 5);ref:43310;4: Einnahmen;;0
SKR42;;43340;Erlöse 7 % USt;ref:43340;4: Einnahmen;;0
SKR42;;43350;Erlöse aus Lieferungen von Mobilfunkgeräten, Tablet-Computern, Spielekonsolen und integrierten Schaltkreisen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet;ref:43350;4: Einnahmen;;0
SKR42;;43360;Erlöse aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet;ref:43360;4: Einnahmen;;0
SKR42;;43370;Erlöse aus Leistungen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet;ref:43370;4: Einnahmen;;0
SKR42;;43380;Erlöse aus im Drittland steuerbaren Leistungen, im Inland nicht steuerbare Umsätze;ref:43380;4: Einnahmen;;0
SKR42;;43390;Erlöse aus im anderen EU-Land steuerbaren Leistungen, im Inland nicht steuerbare Umsätze;ref:43390;4: Einnahmen;;0
SKR42;;43400;Erlöse 16 % USt;ref:43400;4: Einnahmen;;0
SKR42;;44000;Erlöse 19 % USt;ref:44000;4: Einnahmen;;0
SKR42;;44010;Erlöse aus Eintrittsgeldern 19 % USt;ref:44010;4: Einnahmen;;0
SKR42;;44030;Erlöse aus Teilnehmer-/Nutzungsgebühren 19 % USt;ref:44030;4: Einnahmen;;0
SKR42;;44050;Erlöse aus Veranstaltungen 19 % USt;ref:44050;4: Einnahmen;;0
SKR42;;44070;Erlöse aus Fortbildung/Unterricht 19 % USt;ref:44070;4: Einnahmen;;0
SKR42;;44090;Erlöse aus Reisen 19 % USt;ref:44090;4: Einnahmen;;0
SKR42;;44110;Erlöse aus Werbung 19 % USt (in Eigenregie);ref:44110;4: Einnahmen;;0
SKR42;;44130;Erlöse aus Zuwendungen Dritter (Sponsoren) 19 % USt;ref:44130;4: Einnahmen;;0
SKR42;;44190;Erlöse 19 % USt;ref:44190;4: Einnahmen;;0
SKR42;;44480;Erlöse aus Geldspielautomaten 19 % USt;ref:44480;4: Einnahmen;;0
SKR42;;44490;Erlöse aus im Inland steuerpflichtigen elektronischen Dienstleistungen 19 % USt;ref:44490;4: Einnahmen;;0
SKR42;;45100;Erlöse Abfallverwertung;ref:45100;4: Einnahmen;;0
SKR42;;45200;Erlöse Leergut;ref:45200;4: Einnahmen;;0
SKR42;;45600;Provisionsumsätze;ref:45600;4: Einnahmen;;0
SKR42;;45640;Provisionsumsätze, steuerfrei § 4 Nr. 8 ff. UStG;ref:45640;4: Einnahmen;;0
SKR42;;45650;Provisionsumsätze, steuerfrei § 4 Nr. 5 UStG;ref:45650;4: Einnahmen;;0
SKR42;;45660;Provisionsumsätze 7 % USt;ref:45660;4: Einnahmen;;0
SKR42;;45690;Provisionsumsätze 19 % USt;ref:45690;4: Einnahmen;;0
SKR42;;45700;Sonstige Erträge aus Provisionen, Lizenzen und Patenten;ref:45700;4: Einnahmen;;0
SKR42;;45740;Sonstige Erträge aus Provisionen, Lizenzen und Patenten, steuerfrei § 4 Nr. 8 ff. UStG;ref:45740;4: Einnahmen;;0
SKR42;;45750;Sonstige Erträge aus Provisionen, Lizenzen und Patenten, steuerfrei § 4 Nr. 5 UStG;ref:45750;4: Einnahmen;;0
SKR42;;45760;Sonstige Erträge aus Provisionen, Lizenzen und Patenten 7 % USt;ref:45760;4: Einnahmen;;0
SKR42;;45790;Sonstige Erträge aus Provisionen, Lizenzen und Patenten 19 % USt;ref:45790;4: Einnahmen;;0
SKR42;;45800;Statistisches Konto Erlöse zum allgemeinen Umsatzsteuersatz (EÜR);ref:45800;4: Einnahmen;;0
SKR42;;45810;Statistisches Konto Erlöse zum ermäßigten Umsatzsteuersatz (EÜR);ref:45810;4: Einnahmen;;0
SKR42;;45820;Statistisches Konto Erlöse steuerfrei und nicht steuerbar (EÜR);ref:45820;4: Einnahmen;;0
SKR42;;45890;Gegenkonto 45800 - 45829 bei Aufteilung der Erlöse nach Steuersätzen (EÜR);ref:45890;4: Einnahmen;;0
SKR42;;46000;Unentgeltliche Wertabgaben;ref:46000;4: Einnahmen;;0
SKR42;;46500;Unentgeltliche Erbringung einer sonstigen Leistung 7 % USt;ref:46500;4: Einnahmen;;0
SKR42;;46560;Unentgeltliche Erbringung einer sonstigen Leistung 7 % USt;ref:46560;4: Einnahmen;;0
SKR42;;46590;Unentgeltliche Erbringung einer sonstigen Leistung ohne USt;ref:46590;4: Einnahmen;;0
SKR42;;46600;Unentgeltliche Erbringung einer sonstigen Leistung 19 % USt;ref:46600;4: Einnahmen;;0
SKR42;;46700;Unentgeltliche Zuwendung von Waren 7 % USt;ref:46700;4: Einnahmen;;0
SKR42;;46760;Unentgeltliche Zuwendung von Waren 7 % USt;ref:46760;4: Einnahmen;;0
SKR42;;46790;Unentgeltliche Zuwendung von Waren ohne USt;ref:46790;4: Einnahmen;;0
SKR42;;46800;Unentgeltliche Zuwendung von Waren 19 % USt;ref:46800;4: Einnahmen;;0
SKR42;;46860;Unentgeltliche Zuwendung von Gegenständen 19 % USt;ref:46860;4: Einnahmen;;0
SKR42;;46890;Unentgeltliche Zuwendung von Gegenständen ohne USt;ref:46890;4: Einnahmen;;0
SKR42;;46900;Nicht steuerbare Umsätze (Innenumsätze);ref:46900;4: Einnahmen;;0
SKR42;;46950;Umsatzsteuervergütungen, z. B. nach § 24 UStG;ref:46950;4: Einnahmen;;0
SKR42;;46990;Direkt mit dem Umsatz verbundene Steuern;ref:46990;4: Einnahmen;;0
